Module 1_Mid-Career Saver_Alias1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1,Module1_Mid-CareerSaver_URL1
Module 1_Mid-Career Saver_URL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module 1_Mid-Career Saver_Alias2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module 1_Young Saver_URL1,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.nationwide.com/personal/investing/retirement-plans/articles/credit,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/,https://www.experian.com/blogs/ask-experian/credit-education/score-basics/
Module 1_Young Saver_Alias1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1,Module1_YoungSaver_URL1
Module 1_Young Saver_URL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module 1_Young Saver_Alias2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module 2_Prospect_Online_Activation_URL,https://www.nrsforu.com/iApp/rsc/establishUserIdentify.x,https://www.nationwide.com/myretirement,https://www.arizonadc.com/iApp/rsc/establishUserIdentify.x,https://www.aurora457.org/iApp/rsc/establishUserIdentify.x,https://www.retirewithbmore.org/iApp/rsc/establishUserIdentify.x,https://www.savingsplusnow.com/iApp/rsc/establishUserIdentify.x,https://www.chicagodeferredcomp.com/iApp/rsc/establishUserIdentify.x,https://www.cookcountydc.com/iApp/rsc/establishUserIdentify.x,https://www.denver457.com/iApp/rsc/establishUserIdentify.x,https://www.desmoinesdcp.org/iApp/rsc/establishUserIdentify.x,https://www.nrsflorida.com/iApp/rsc/establishUserIdentify.x,https://www.FortCollinsRP.com/iApp/rsc/establishUserIdentify.x,https://www.fresno457.com/iApp/rsc/establishUserIdentify.x,https://www.nrsforu.com/iApp/rsc/establishUserIdentify.x,https://www.geneseecodcplans.com/iApp/rsc/establishUserIdentify.x,https://www.kcmodc.com/iApp/rsc/establishUserIdentify.x,https://www.kcpddc.com/iApp/rsc/establishUserIdentify.x,https://www.kentuckyplans.com/iApp/rsc/establishUserIdentify.x,https://www.CLVdeferredcomp.com/iApp/rsc/establishUserIdentify.x,https://www.maricopadc.com/iApp/rsc/establishUserIdentify.x,https://www.masshousingdc.com/iApp/rsc/establishUserIdentify.x,https://www.mesafiredc.com/iApp/rsc/establishUserIdentify.x,https://www.nationwide.com/mhsc.jsp,https://www.martadcp.com/iApp/rsc/establishUserIdentify.x,https://www.miami457.com/iApp/rsc/establishUserIdentify.x,https://www.miamidade457.com/iApp/rsc/establishUserIdentify.x,https://www.mcdc457.com/iApp/rsc/establishUserIdentify.x,https://www.nationwide.com/msm.jsp,https://www.cityofsacretplan.com/iApp/rsc/establishUserIdentify.x,https://www.nrsforu.com/iApp/rsc/establishUserIdentify.x,https://www.mydcplan.com/iApp/rsc/establishUserIdentify.x,https://www.santaclaracadcp.com/iApp/rsc/establishUserIdentify.x,https://www.santaclarawaterdcp.com/iApp/rsc/establishUserIdentify.x,https://www.scottsdale457.com/iApp/rsc/establishUserIdentify.x,https://www.srp457.com/iApp/rsc/establishUserIdentify.x,https://www.stanislausdc.com/iApp/rsc/establishUserIdentify.x,https://www.nationwide.com/suncoast.jsp,https://www.tulsa457.com/iApp/rsc/establishUserIdentify.x,https://www.mythorntonretirement.com/iApp/rsc/establishUserIdentify.x
Module 2_Prospect_Online_Activation_Alias,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity,M2_Online_Activation_EstablishIdentity
Module 2_Prospect_ProAccount_URL,https://www.nrsforu.com/rsc-web-preauth/enroll/proaccount/index.html,https://www.nationwide.com/myretirement,https://www.arizonadc.com/iApp/tcm/arizonadc/about/proaccount.jsp,https://www.aurora457.org/iApp/tcm/aurora457/about/proaccount.jsp,https://www.retirewithbmore.org/iApp/tcm/retirewithbmore/about/proaccount.jsp,https://www.savingsplusnow.com/iApp/tcm/savingsplusnow/about/proaccount.jsp,https://www.chicagodeferredcomp.com/iApp/tcm/chicagodeferredcomp/about/proaccount.jsp,https://www.cookcountydc.com/iApp/tcm/cookcountydc/about/proaccount.jsp,https://www.denver457.com/iApp/tcm/denver457/about/proaccount.jsp,https://www.desmoinesdcp.org/iApp/tcm/desmoinesdcp/about/proaccount.jsp,https://www.nrsflorida.com/iApp/tcm/nrsflorida/about/proaccount.jsp,https://www.FortCollinsRP.com/rsc-web-preauth/enroll/proaccount/index.html,https://www.fresno457.com/rsc-web-preauth/enroll/proaccount/index.html,https://www.nrsforu.com/rsc-web-preauth/enroll/proaccount/index.html,https://www.geneseecodcplans.com/rsc-web-preauth/enroll/proaccount/index.html,,https://www.kcpddc.com/iApp/tcm/kcpddc/about/proaccount.jsp,https://www.kentuckyplans.com/iApp/tcm/kentuckyplans/about/proaccount.jsp,https://www.clvdeferredcomp.com/rsc-web-preauth/enroll/proaccount/index.html,https://www.maricopadc.com/iApp/tcm/maricopadc/about/proaccount.jsp,,https://www.mesafiredc.com/iApp/tcm/mesafiredc/about/proaccount.jsp,https://www.nationwide.com/mhsc.jsp,https://www.martadcp.com/rsc-web-preauth/enroll/proaccount/index.html,https://www.miami457.com/rsc-web-preauth/enroll/proaccount/index.html,https://www.miamidade457.com/iApp/tcm/miamidade457/about/proaccount.jsp,https://www.mcdc457.com/rsc-web-preauth/enroll/proaccount/index.html,https://www.nationwide.com/msm.jsp,https://www.cityofsacretplan.com/iApp/tcm/cityofsacretplan/about/proaccount.jsp,https://www.nrsforu.com/rsc-web-preauth/enroll/proaccount/index.html,,https://www.santaclaracadcp.com/iApp/tcm/santaclaracadcp/about/proaccount.jsp,https://www.santaclarawaterdcp.com/iApp/tcm/santaclarawaterdcp/about/proaccount.jsp,https://www.scottsdale457.com/iApp/tcm/scottsdale457/about/proaccount.jsp,https://www.srp457.com/iApp/tcm/srp457/about/proaccount.jsp,https://www.stanislausdc.com/rsc-web-preauth/enroll/proaccount/index.html,https://www.nationwide.com/suncoast.jsp,https://www.tulsa457.com/iApp/tcm/tulsa457/about/proaccount.jsp,https://www.mythorntonretirement.com/rsc-web-preauth/enroll/proaccount/index.html
Module 2_Prospect_ProAccount_Alias,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About,M2_ProAccount_About
Module 2_Prospect_Rollin_NonRetiree_URL,https://www.nrsforu.com/rsc-web-preauth/articles/rollovers.html,https://www.nationwide.com/myretirement,https://www.arizonadc.com/iApp/tcm/arizonadc/learning/library/some_benefits_of_consolidation.jsp,https://www.aurora457.org/iApp/tcm/aurora457/learning/library/some_benefits_of_consolidation.jsp,https://www.retirewithbmore.org/iApp/tcm/retirewithbmore/learning/library/some_benefits_of_consolidation.jsp,https://www.savingsplusnow.com/iApp/tcm/savingsplusnow/learning/library/some_benefits_of_consolidation.jsp,https://www.chicagodeferredcomp.com/iApp/tcm/chicagodeferredcomp/learning/library/some_benefits_of_consolidation.jsp,https://www.cookcountydc.com/iApp/tcm/cookcountydc/learning/library/some_benefits_of_consolidation.jsp,https://www.denver457.com/iApp/tcm/denver457/learning/library/some_benefits_of_consolidation.jsp,https://www.desmoinesdcp.org/iApp/tcm/desmoinesdcp/learning/library/some_benefits_of_consolidation.jsp,https://www.nrsflorida.com/iApp/tcm/nrsflorida/learning/library/some_benefits_of_consolidation.jsp,https://www.FortCollinsRP.com/rsc-web-preauth/articles/rollovers.html,https://www.fresno457.com/rsc-web-preauth/articles/rollovers.html,https://www.nrsforu.com/rsc-web-preauth/articles/rollovers.html,https://www.geneseecodcplans.com/rsc-web-preauth/articles/rollovers.html,https://www.kcmodc.com/iApp/tcm/kcmodc/learning/library/some_benefits_of_consolidation.jsp,https://www.kcpddc.com/iApp/tcm/kcpddc/learning/library/some_benefits_of_consolidation.jsp,https://www.kentuckyplans.com/iApp/tcm/kentuckyplans/learning/library/some_benefits_of_consolidation.jsp,https://www.CLVdeferredcomp.com/rsc-web-preauth/articles/rollovers.html,https://www.maricopadc.com/iApp/tcm/maricopadc/learning/library/some_benefits_of_consolidation.jsp,https://www.masshousingdc.com/rsc-web-preauth/articles/rollovers.html,https://www.mesafiredc.com/iApp/tcm/mesafiredc/learning/library/some_benefits_of_consolidation.jsp,https://www.nationwide.com/mhsc.jsp,https://www.martadcp.com/rsc-web-preauth/articles/rollovers.html,https://www.miami457.com/rsc-web-preauth/articles/rollovers.html,https://www.miamidade457.com/iApp/tcm/miamidade457/learning/library/some_benefits_of_consolidation.jsp,https://www.mcdc457.com/rsc-web-preauth/articles/rollovers.html,https://www.nationwide.com/msm.jsp,https://www.cityofsacretplan.com/iApp/tcm/cityofsacretplan/learning/library/some_benefits_of_consolidation.jsp,https://www.nrsforu.com/rsc-web-preauth/articles/rollovers.html,https://www.mydcplan.com/iApp/tcm/mydcplan/learning/library/some_benefits_of_consolidation.jsp,https://www.santaclaracadcp.com/iApp/tcm/santaclaracadcp/learning/library/some_benefits_of_consolidation.jsp,https://www.santaclarawaterdcp.com/iApp/tcm/santaclarawaterdcp/learning/library/some_benefits_of_consolidation.jsp,https://www.scottsdale457.com/iApp/tcm/scottsdale457/learning/library/some_benefits_of_consolidation.jsp,https://www.srp457.com/iApp/tcm/srp457/learning/library/some_benefits_of_consolidation.jsp,https://www.stanislausdc.com/rsc-web-preauth/articles/rollovers.html,https://www.nationwide.com/suncoast.jsp,https://www.tulsa457.com/iApp/tcm/tulsa457/learning/library/some_benefits_of_consolidation.jsp,https://www.mythorntonretirement.com/rsc-web-preauth/articles/rollovers.html
Module 2_Prospect_Rollin_NonRetiree_Alias,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation,M2_Rollin_NonRetiree_BenefitsofConsolidation
